agency,amt
アイムエンタープライズ,1711
青二プロダクション,760
プロ・フィット,700
アーツビジョン,684
大沢事務所,654
マウスプロモーション,638
81プロデュース,539
東京俳優生活協同組合,524
シグマ・セブン,507
VIMS,456
アクセルワン,438
アクロス エンタテインメント,365
INTENTION,364
ミュージックレイン,321
  EARLY WING,315
賢プロダクション,246
アトミックモンキー,167
プロダクッション．エース,165
ダンデライオン,147
アミュレート,117
ホリプロ,112
アセンブルハート,36
