cv,gender,amount,main
櫻井孝宏,M,24,13
細谷佳正,M,21,18
宮野真守,M,20,1
逢坂良太,M,19,8
諏訪部順一,M,19,8
鳥海浩輔,M,19,3
松岡禎丞,M,18,11
中村悠一,M,18,10
浪川大輔,M,18,8
小野大輔,M,17,9
岡本信彥,M,17,6
藤原啓治,M,17,4
茅野愛衣,F,25,6
佐倉綾音,F,20,13
花澤香菜,F,19,11
早見沙織,F,18,7
内田真礼,F,18,11
沢城みゆき,F,16,12
日笠陽子,F,16,7
東山奈央,F,16,10
悠木碧,F,16,11
小松未可子,F,15,11
