agency,amt
青二プロダクション,282
81プロデュース,240
アイムエンタープライズ,222
マウスプロモーション,183
大沢事務所,176
賢プロダクション,176
アーツビジョン,173
シグマ・セブン,134
アクセルワン,117
東京俳優生活協同組合,107
プロ・フィット,79
アトミックモンキー,70
アクロス エンタテインメント,68
ミュージックレイン,58
ぷろだくしょんバオバブ,57
プロダクッション．エース,57
アミュレート,43
響,39
劇団ひまわり,38
VIMS,32
ケンユウオフィス,30
メデイアフォース,23
アクセント,22
エアエージェンシー,22
シグマ・セブン,22
スタイルキューブ,22
  EARLY WING,20
ビーポ,18
円企画,18
青年座,17
オフィスPAC,16
ピアレスガーペラ,16
INTENTION,16
アセンブルハート,15
