cv,gender,amount,main
逢坂良太,M,23,11
杉田智和,M,23,4
諏訪部順一,M,22,9
櫻井孝宏,M,21,8
浪川大輔,M,20,11
中村悠一,M,19,12
小野友樹,M,19,5
山下大輝,M,19,3
小野大輔,M,18,9
柿原徹也,M,18,8
福山潤,M,18,6
花江夏樹,M,18,4
石田彰,M,18,5
鳥海浩輔,M,18,5
内山夕実,F,29,4
茅野愛衣,F,28,13
花澤香菜,F,24,17
日笠陽子,F,22,12
洲崎綾,F,21,2
種田梨沙,F,20,6
釘宮理恵,F,18,12
井上喜久子,F,18,3
赤崎千夏,F,18,3
日高里菜,F,18,3
戶松遙,F,18,8
