cv,gender,amount,main
梶裕貴,M,27,3
福山潤,M,25,4
宮野真守,M,20,5
小山力也,M,19,1
松岡禎丞,M,18,6
浪川大輔,M,18,3
中村悠一,M,18,3
小西克幸,M,17,3
下野紘,M,17,2
小野大輔,M,17,3
櫻井孝宏,M,16,2
沢城みゆき,F,20,2
花澤香菜,F,17,6
大原さやか,F,16,1
茅野愛衣,F,15,2
早見沙織,F,14,4
内田真礼,F,13,5
日笠陽子,F,13,4
能登麻美子,F,13,0
釘宮理恵,F,12,1
伊瀬茉莉也,F,11,1
佐藤聡美,F,11,0
