cv,gender,amount,main
櫻井孝宏,M,37,19
杉田智和,M,34,13
細谷佳正,M,31,16
小野大輔,M,29,14
松岡禎丞,M,29,11
石田彰,M,27,8
梶裕貴,M,27,17
津田健次郎,M,25,12
鳥海浩輔,M,25,8
中村悠一,M,25,8
福山潤,M,25,8
日笠陽子,F,33,12
石上靜香,F,28,4
茅野愛衣,F,27,10
加隈亞衣,F,25,4
佐倉綾音,F,25,10
本渡楓,F,24,3
千本木彩花,F,23,3
大地葉,F,23,1
M·A·O,F,22,12
金元寿子,F,21,3
木村珠莉,F,21,1
小林ゆう,F,21,12
沢城みゆき,F,21,9
